Date: 2025-06-18 16:43:34 - Error during saving
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0116_SMPLER_centered_scaled_remeshing_iso_iter7_lce.csv - Taux de NaN : 1.0
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0088_SMPLER_centered_scaled_remeshing_iso_iter11_lce.csv - Taux de NaN : 0.07687420584498093
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0124_SMPLER_centered_scaled_remeshing_iso_iter7_lce.csv - Taux de NaN : 0.4586342067258098
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0059_SMPLER_centered_scaled_remeshing_iso_iter3_lce.csv - Taux de NaN : 0.9994928148774302
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0145_SMPLER_centered_scaled_remeshing_iso_iter7_lce.csv - Taux de NaN : 1.0
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0159_SMPLER_centered_scaled_remeshing_iso_iter6_lce.csv - Taux de NaN : 0.10907643312101911
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0138_SMPLER_centered_scaled_remeshing_iso_iter8_lce.csv - Taux de NaN : 0.055949895615866385
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0149_SMPLER_centered_scaled_remeshing_iso_iter6_lce.csv - Taux de NaN : 0.988118052893829
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0017_SMPLER_centered_scaled_remeshing_iso_iter6_lce.csv - Taux de NaN : 1.0
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0024_SMPLER_centered_scaled_remeshing_iso_iter5_lce.csv - Taux de NaN : 0.9956709956709957
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0066_SMPLER_centered_scaled_remeshing_iso_iter4_lce.csv - Taux de NaN : 0.05048380311316786
/media/disk1/mpelissi-data/Modelnet40_limper_remeshing_iso_lce/plant/train/plant_0087_SMPLER_centered_scaled_remeshing_iso_iter5_lce.csv - Taux de NaN : 0.7330587794833395
